Freq(Hz)	RL(%)
9549250000.0	95.2520608884
9551875000.0	94.6910102023
9554500000.0	95.9915956995
9557125000.0	95.0605679368
9559750000.0	95.8575745232
9562375000.0	96.0315372071
9565000000.0	95.4918080632
9567625000.0	94.8176697945
9570250000.0	95.1511262151
9572875000.0	94.8342282659
9575500000.0	94.7141989113
9578125000.0	94.5702319339
9580750000.0	94.3652809234
9583375000.0	94.8568027469
9586000000.0	95.117779727
9588625000.0	93.7514455344
9591250000.0	94.9910175101
9593875000.0	93.781266539
9596500000.0	94.6101528422
9599125000.0	95.0981025187
9601750000.0	94.7890112749
9604375000.0	93.9805579173
9607000000.0	94.2034302559
9609625000.0	92.9525146051
9612250000.0	94.2449523344
9614875000.0	94.1635754641
9617500000.0	93.8185068976
9620125000.0	93.3129986389
9622750000.0	95.116682624
9625375000.0	93.2017679241
9628000000.0	94.5822549949
9630625000.0	94.8373590245
9633250000.0	92.7292539481
9635875000.0	94.9538436627
9638500000.0	94.0979439423
9641125000.0	93.7021784259
9643750000.0	95.6575428482
9646375000.0	93.9310857329
9649000000.0	95.2653206224
9651625000.0	95.3362031543
9654250000.0	93.3579175666
9656875000.0	94.459948179
9659500000.0	94.4628589996
9662125000.0	94.0110693138
9664750000.0	94.4819140848
9667375000.0	94.9718467057
9670000000.0	94.1733913955
9672625000.0	94.8445132178
9675250000.0	94.2586047951
9677875000.0	94.3790190135
9680500000.0	93.9024150958
9683125000.0	94.79421535
9685750000.0	92.8617180013
9688375000.0	92.6424200687
9691000000.0	93.8969357736
9693625000.0	94.7912584396
9696250000.0	93.8950229486
9698875000.0	94.1770360819
9701500000.0	94.4291167859
9704125000.0	94.7376269941
9706750000.0	93.1391266472
9709375000.0	93.9306223836
9712000000.0	93.1038147103
9714625000.0	93.8275697272
9717250000.0	95.0816755962
9719875000.0	94.9826277421
9722500000.0	94.4764760771
9725125000.0	94.7970163075
9727750000.0	94.1345113534
9730375000.0	94.2511948649
9733000000.0	95.1271135168
9735625000.0	94.8763674528
9738250000.0	94.5128849678
9740875000.0	93.6817462704
9743500000.0	92.8791161722
9746125000.0	94.366939717
9748750000.0	94.2364861913
9751375000.0	94.7653345707
9754000000.0	94.1819537909
9756625000.0	94.6358577935
9759250000.0	94.1824874855
9761875000.0	93.9041834295
9764500000.0	93.805143337
9767125000.0	93.3984302618
9769750000.0	93.9485954525
9772375000.0	95.5131583155
9775000000.0	95.3613033443
9777625000.0	94.8196361427
9780250000.0	94.654903335
9782875000.0	94.7239631883
9785500000.0	94.9188090117
9788125000.0	93.3807984923
9790750000.0	95.4902920101
9793375000.0	94.6110541838
9796000000.0	93.1212525551
9798625000.0	94.0772702419
9801250000.0	93.9093847378
9803875000.0	94.8912561576
9806500000.0	94.5632463815
9809125000.0	94.4276637806
9811750000.0	94.7510574092
9814375000.0	94.323948685
9817000000.0	94.3431813491
9819625000.0	93.7394414223
9822250000.0	93.9082100553
9824875000.0	94.3902322064
9827500000.0	93.778662352
9830125000.0	92.6725094015
9832750000.0	94.4624481273
9835375000.0	93.7309227164
9838000000.0	94.5771347239
9840625000.0	93.7033073109
9843250000.0	93.9653414331
9845875000.0	93.5528500391
9848500000.0	93.5745610527
9851125000.0	94.1554890256
9853750000.0	94.3654040694
9856375000.0	94.2671913425
9859000000.0	94.1158227115
9861625000.0	94.5845121226
9864250000.0	94.6509704044
9866875000.0	94.0605600383
9869500000.0	93.1119333928
9872125000.0	93.3167521942
9874750000.0	93.9824589595
9877375000.0	94.3459266073
9880000000.0	93.437729879
9882625000.0	94.1016092594
9885250000.0	94.3977756628
9887875000.0	93.8163609744
9890500000.0	94.3571894485
9893125000.0	94.046746031
9895750000.0	94.2337236624
9898375000.0	94.2943334213
9901000000.0	94.3289808503
9903625000.0	94.026533586
9906250000.0	94.3553602071
9908875000.0	94.5615184911
9911500000.0	94.0134743925
9914125000.0	94.7551660809
9916750000.0	94.8295605318
9919375000.0	94.4974319173
9922000000.0	93.1417332247
9924625000.0	94.2196787984
9927250000.0	93.4808077375
9929875000.0	93.6912817782
9932500000.0	93.896703258
9935125000.0	93.6882898049
9937750000.0	95.0975600178
9940375000.0	94.0289933076
9943000000.0	93.7857345501
9945625000.0	94.4435092534
9948250000.0	93.7603040104
9950875000.0	94.2823718056
9953500000.0	94.9841124181
9956125000.0	93.8874205656
9958750000.0	93.7404030113
9961375000.0	93.7967968504
9964000000.0	93.8087569331
9966625000.0	93.3582744819
9969250000.0	94.502171744
9971875000.0	94.1219611276
9974500000.0	93.6329900025
9977125000.0	94.2268806041
9979750000.0	93.3720532195
9982375000.0	93.6891915278
9985000000.0	93.4418217717
9987625000.0	93.3779457404
9990250000.0	93.8213367186
9992875000.0	92.8921141605
9995500000.0	93.183954746
9998125000.0	93.9506206528
10000750000.0	93.0703213414
10003375000.0	94.0713894653
10006000000.0	93.5456328003
10008625000.0	93.9018300796
10011250000.0	93.8965997483
10013875000.0	93.4010573526
10016500000.0	93.473882093
10019125000.0	92.9776625937
10021750000.0	94.0595083279
10024375000.0	94.8450097137
10027000000.0	93.9590607964
10029625000.0	94.0964778831
10032250000.0	93.7645024505
10034875000.0	94.5948893566
10037500000.0	94.5605716067
10040125000.0	93.3183962953
10042750000.0	93.3761416628
10045375000.0	94.2269903512
10048000000.0	94.2707310193
10050625000.0	93.3110805647
10053250000.0	93.5267066212
10055875000.0	94.282033677
10058500000.0	94.3857241148
10061125000.0	93.3292165931
